Day,Close
22120,	1882.95
22119,	1903.63
22118,	1877.08
22117,	1906.90
22116,	1868.99
22115,	1859.33
22114,	1881.33
22113,	1880.33
22112,	1921.84
22111,	1890.28
22110,	1938.68
22109,	1923.67
22108,	1922.03
22107,	1943.09
22106,	1990.26
22105,	2016.71
22104,	2012.66
22103,	2043.94
22102,	2063.36
22101,	2078.36
22100,	2056.50
22099,	2060.99
22098,	2064.29
22097,	2038.97
22096,	2021.15
22095,	2005.55
22094,	2041.89
22093,	2073.07
22092,	2043.41
22091,	2021.94
22090,	2012.37
22089,	2052.23
22088,	2047.62
22087,	2063.59
22086,	2077.07
22085,	2091.69
22084,	2049.62
22083,	2079.51
22082,	2102.63
22081,	2080.41
22080,	2090.11
22079,	2088.87
22078,	2089.14
22077,	2086.59
22076,	2089.17
22075,	2081.24
22074,	2083.58
22073,	2050.44
22072,	2053.19
22071,	2023.04
22070,	2045.97
22069,	2075.00
22068,	2081.72
22067,	2078.58
22066,	2099.20
22065,	2099.93
22064,	2102.31
22063,	2109.79
22062,	2104.05
22061,	2079.36
22060,	2089.41
22059,	2090.35
22058,	2065.89
22057,	2071.18
22056,	2075.15
22055,	2052.51
22054,	2018.94
22053,	2030.77
22052,	2033.66
22051,	2033.11
22050,	2023.86
22049,	1994.24
22048,	2003.69
22047,	2017.46
22046,	2014.89
22045,	2013.43
22044,	1995.83
22043,	1979.92
22042,	1987.05
22041,	1951.36
22040,	1923.82
22039,	1920.03
22038,	1884.09
22037,	1881.77
22036,	1931.34
22035,	1932.24
22034,	1938.76
22033,	1942.74
22032,	1966.97
22031,	1958.03
22030,	1990.20
22029,	1995.31
22028,	1978.09
22027,	1953.03
22026,	1961.05
22025,	1952.29
22024,	1942.04
22023,	1969.41
22022,	1921.22
22021,	1951.13
22020,	1948.86
22019,	1913.85
22018,	1972.18
22017,	1988.87
22016,	1987.66
22015,	1940.51
22014,	1867.61
22013,	1893.21
22012,	1970.89
22011,	2035.73
22010,	2079.61
22009,	2096.92
22008,	2102.44
22007,	2091.54
22006,	2083.39
22005,	2086.05
22004,	2084.07
22003,	2104.18
22002,	2077.57
22001,	2083.56
22000,	2099.84
21999,	2093.32
21998,	2098.04
21997,	2103.84
21996,	2108.63
21995,	2108.57
21994,	2093.25
21993,	2067.64
21992,	2079.65
21991,	2102.15
21990,	2114.15
21989,	2119.21
21988,	2128.28
21987,	2126.64
21986,	2124.29
21985,	2107.40
21984,	2108.95
21983,	2099.60
21982,	2076.62
21981,	2051.31
21980,	2046.68
21979,	2081.34
21978,	2068.76
21977,	2076.78
21976,	2077.42
21975,	2063.11
21974,	2057.64
21973,	2101.49
21972,	2102.31
21971,	2108.58
21970,	2124.20
21969,	2122.85
21968,	2109.99
21967,	2121.24
21966,	2100.44
21965,	2096.29
21964,	2084.43
21963,	2094.11
21962,	2108.86
21961,	2105.20
21960,	2080.15
21959,	2079.28
21958,	2092.83
21957,	2095.84
21956,	2114.07
21955,	2109.60
21954,	2111.73
21953,	2107.39
21952,	2120.79
21951,	2123.48
21950,	2104.20
21949,	2126.06
21948,	2130.82
21947,	2125.85
21946,	2127.83
21945,	2129.20
21944,	2122.73
21943,	2121.10
21942,	2098.48
21941,	2099.12
21940,	2105.33
21939,	2116.10
21938,	2088.00
21937,	2080.15
21936,	2089.46
21935,	2114.49
21934,	2108.29
21933,	2085.51
21932,	2106.85
21931,	2114.76
21930,	2108.92
21929,	2117.69
21928,	2112.93
21927,	2107.96
21926,	2097.29
21925,	2100.40
21924,	2081.18
21923,	2104.99
21922,	2106.63
21921,	2095.84
21920,	2092.43
21919,	2102.06
21918,	2091.18
21917,	2081.90
21916,	2076.33
21915,	2080.62
21914,	2066.96
21913,	2059.69
21912,	2067.89
21911,	2086.24
21910,	2061.02
21909,	2056.15
21908,	2061.05
21907,	2091.50
21906,	2104.42
21905,	2108.10
21904,	2089.27
21903,	2099.50
21902,	2074.28
21901,	2081.19
21900,	2053.40
21899,	2065.95
21898,	2040.24
21897,	2044.16
21896,	2079.43
21895,	2071.26
21894,	2101.04
21893,	2098.53
21892,	2107.78
21891,	2117.39
21890,	2104.50
21889,	2110.74
21888,	2113.86
21887,	2115.48
21886,	2109.66
21885,	2110.30
21884,	2097.45
21883,	2099.68
21882,	2100.34
21881,	2096.99
21880,	2088.48
21879,	2068.53
21878,	2068.59
21877,	2046.74
21876,	2055.47
21875,	2062.52
21874,	2041.51
21873,	2050.03
21872,	2020.85
21871,	1994.99
21870,	2021.25
21869,	2002.16
21868,	2029.55
21867,	2057.09
21866,	2051.82
21865,	2063.15
21864,	2032.12
21863,	2022.55
21862,	2019.42
21861,	1992.67
21860,	2011.27
21859,	2023.03
21858,	2028.26
21857,	2044.81
21856,	2062.14
21855,	2025.90
21854,	2002.61
21853,	2020.58
21852,	2058.20
21851,	2058.90
21850,	2080.35
21849,	2090.57
21848,	2088.77
21847,	2081.88
21846,	2082.17
21845,	2078.54
21844,	2070.65
21843,	2061.23
21842,	2012.89
21841,	1972.74
21840,	1989.63
21839,	2002.33
21838,	2035.33
21837,	2026.14
21836,	2059.82
21835,	2060.31
21834,	2075.37
21833,	2071.92
21832,	2074.33
21831,	2066.55
21830,	2053.44
21829,	2067.56
21828,	2072.83
21827,	2067.03
21826,	2069.41
21825,	2063.50
21824,	2052.75
21823,	2048.72
21822,	2051.80
21821,	2041.32
21820,	2039.82
21819,	2039.33
21818,	2038.25
21817,	2039.68
21816,	2038.26
21815,	2031.92
21814,	2031.21
21813,	2023.57
21812,	2012.10
21811,	2017.81
21810,	2018.05
21809,	1994.65
21808,	1982.30
21807,	1985.05
21806,	1961.63
21805,	1964.58
21804,	1950.82
21803,	1927.11
21802,	1941.28
21801,	1904.01
21800,	1886.76
21799,	1862.76
21798,	1862.49
21797,	1877.70
21796,	1874.74
21795,	1906.13
21794,	1928.21
21793,	1968.89
21792,	1935.10
21791,	1964.82
21790,	1967.90
21789,	1946.17
21788,	1946.16
21787,	1972.29
21786,	1977.80
21785,	1982.85
21784,	1965.99
21783,	1998.30
21782,	1982.77
21781,	1994.29
21780,	2010.40
21779,	2011.36
21778,	2001.57
21777,	1998.98
21776,	1984.13
21775,	1985.54
21774,	1997.45
21773,	1995.69
21772,	1988.44
21771,	2001.54
21770,	2007.71
21769,	1997.65
21768,	2000.72
21767,	2002.28
21766,	2003.37
21765,	1996.74
21764,	2000.12
21763,	2000.02
21762,	1997.92
21761,	1988.40
21760,	1992.37
21759,	1986.51
21758,	1981.60
21757,	1971.74
21756,	1955.06
21755,	1955.18
21754,	1946.72
21753,	1933.75
21752,	1936.92
21751,	1931.59
21750,	1909.57
21749,	1920.24
21748,	1920.21
21747,	1938.99
21746,	1925.15
21745,	1930.67
21744,	1970.07
21743,	1969.95
21742,	1978.91
21741,	1978.34
21740,	1987.98
21739,	1987.01
21738,	1983.53
21737,	1973.63
21736,	1978.22
21735,	1958.12
21734,	1981.57
21733,	1973.28
21732,	1977.10
21731,	1967.57
21730,	1964.68
21729,	1972.83
21728,	1963.71
21727,	1977.65
21726,	1985.44
21725,	1974.62
21724,	1973.32
21723,	1960.23
21722,	1960.96
21721,	1957.22
21720,	1959.53
21719,	1949.98
21718,	1962.61
21717,	1962.87
21716,	1959.48
21715,	1956.98
21714,	1941.99
21713,	1937.78
21712,	1936.16
21711,	1930.11
21710,	1943.89
21709,	1950.79
21708,	1951.27
21707,	1949.44
21706,	1940.46
21705,	1927.88
21704,	1924.24
21703,	1924.97
21702,	1923.57
21701,	1920.03
21700,	1909.78
21699,	1911.91
21698,	1900.53
21697,	1892.49
21696,	1888.03
21695,	1872.83
21694,	1885.08
21693,	1877.86
21692,	1870.85
21691,	1888.53
21690,	1897.45
21689,	1896.65
21688,	1878.48
21687,	1875.63
21686,	1878.21
21685,	1867.72
21684,	1884.66
21683,	1881.14
21682,	1883.68
21681,	1883.95
21680,	1878.33
21679,	1869.43
21678,	1863.40
21677,	1878.61
21676,	1875.39
21675,	1879.55
21674,	1871.89
21673,	1864.85
21672,	1862.31
21671,	1842.98
21670,	1830.61
21669,	1815.69
21668,	1833.08
21667,	1872.18
21666,	1851.96
21665,	1845.04
21664,	1865.09
21663,	1888.77
21662,	1890.90
21661,	1885.52
21660,	1872.34
21659,	1857.62
21658,	1849.04
21657,	1852.56
21656,	1865.62
21655,	1857.44
21654,	1866.52
21653,	1872.01
21652,	1860.77
21651,	1872.25
21650,	1858.83
21649,	1841.13
21648,	1846.34
21647,	1868.20
21646,	1867.63
21645,	1877.17
21644,	1878.04
21643,	1877.03
21642,	1873.81
21641,	1873.91
21640,	1845.73
21639,	1859.45
21638,	1854.29
21637,	1845.16
21636,	1845.12
21635,	1847.61
21634,	1836.25
21633,	1839.78
21632,	1828.75
21631,	1840.76
21630,	1838.63
21629,	1829.83
21628,	1819.26
21627,	1819.75
21626,	1799.84
21625,	1797.02
21624,	1773.43
21623,	1751.64
21622,	1755.20
21621,	1741.89
21620,	1782.59
21619,	1794.19
21618,	1774.20
21617,	1792.50
21616,	1781.56
21615,	1790.29
21614,	1828.46
21613,	1844.86
21612,	1843.80
21611,	1838.70
21610,	1845.89
21609,	1848.38
21608,	1838.88
21607,	1819.20
21606,	1842.37
21605,	1838.13
21604,	1837.49
21603,	1837.88
21602,	1826.77
21601,	1831.37
21600,	1831.98
21599,	1848.36
21598,	1841.07
